Gene,MERSCOPE_9m_WT_R1,MERSCOPE_9m_WT_R2
Igf2,15.09431238571841,8.763157894736842
Pdgfra,9.960542777403523,10.232456140350877
S100a6,1.485323837936676,1.037061403508772
Col6a1,3.4930228081994033,8.532675438596492
Col1a1,3.0464825329612166,2.9226973684210527
Grik5,44.45597151381003,53.659320175438594
Calb2,5.278895197767299,4.815899122807018
Eno2,15.052256760658262,21.511293859649122
Stx1a,24.866519103069965,33.086293859649125
Pvalb,3.145318063708979,4.6108552631578945
Sptbn2,93.72043114233472,131.96381578947367
Cabp7,17.41391588874988,30.358771929824563
Syngr1,91.3199884515446,91.31688596491227
Myl4,1.4437493985179481,0.9052631578947369
Reep3,3.945722259647772,4.889035087719298
Nts,0.7515157347704744,0.6768640350877193
Slc17a8,2.50235780964296,3.7007675438596492
Pde7b,1.3047829852757193,1.1275219298245613
D10Wsu102e,6.643633913964007,7.932894736842106
Adcy1,92.35453758059859,100.30427631578948
Id2,6.04985083245116,9.873574561403508
Vamp2,119.93186411317487,141.60657894736843
Shc3,59.61928592050813,66.10087719298245
Hexb,6.677028197478587,8.849451754385965
Fezf2,5.377057068617073,7.6505482456140355
Nefm,44.294100664036186,50.18728070175439
Nefl,91.33442402078722,137.15548245614036
Gfra2,5.074102588778751,5.394298245614035
Arc,31.35607737465114,63.28793859649123
Igfbp6,2.7151381002790878,2.9507675438596492
Prph,1.1790010586084112,1.4548245614035087
Cyp1b1,2.4396112020017324,3.1777412280701753
Syt4,12.813203734000577,18.34484649122807
Csf1r,5.664324896545087,9.34780701754386
Bhlhe22,7.7154268116639395,12.82532894736842
Ifitm3,3.9967279376383407,3.1297149122807015
Cplx2,210.99355211240496,250.02894736842106
Epha4,14.957463189298432,21.48355263157895
Rgs5,8.724569338850928,15.72828947368421
Vim,10.623809065537484,17.451535087719297
Kif5c,110.60436916562409,153.34144736842106
Gad2,14.304205562506015,18.658333333333335
Fibcd1,4.317005100567799,7.455263157894737
Gsn,8.966509479357136,14.330811403508772
Gatm,21.495621210663074,31.075328947368423
Pdyn,5.599461072081609,2.488377192982456
Trpc4,3.2724473101722644,5.170833333333333
Npy2r,1.7530555288230198,2.1777412280701753
Calb1,2.2087383312481954,2.247697368421053
Grik3,8.139351361755365,14.329495614035087
Rspo1,3.7648926956019633,3.2349780701754387
Gabrb1,13.193917813492446,16.395394736842107
Spp1,2.5588490039457223,2.9105263157894736
Slc13a4,7.353575209315754,4.540241228070175
Aldh1l1,14.52728322586854,21.705482456140352
Vamp1,18.294100664036186,36.52905701754386
Cyfip1,1.2252911173130594,0.9751096491228071
Slc17a6,8.361274179578482,6.751535087719298
Nr2f2,2.700125108266769,3.1576754385964914
Dkk3,25.126263112308727,43.471162280701755
Dcx,2.156962756231354,2.2158991228070177
Cntnap4,4.647579636223655,5.811951754385965
Bace1,2.900490809354249,3.6326754385964914
Scg3,11.030699643922626,16.854605263157893
Aldh1a2,2.5858916369935523,3.010087719298246
Acsbg1,24.7991531132711,43.55855263157895
Olig2,6.0014435569242615,8.038377192982455
Cspg4,6.3615628909633335,7.831140350877193
Gria1,84.76970455201617,103.43991228070175
Cdh6,4.016071600423444,4.889802631578948
Rasl10a,1.3475122702338562,1.461513157894737
Nrn1,4.664132422288519,6.703179824561404
Kcna2,17.626696179386006,23.54671052631579
Ppp1r9b,167.21855451833318,172.80723684210525
Gjb6,11.028678664228659,18.25043859649123
Tox,2.0318544894620345,2.817105263157895
Parm1,5.610624578962564,8.780811403508771
Nav1,22.939178134924454,28.466008771929825
