condition,count,nc_count
9m_AD_R1,1605.0,48.0
9m_AD_R1,6699.0,258.0
9m_AD_R1,3939.0,141.0
9m_AD_R1,1066.0,46.0
9m_AD_R1,6235.0,183.0
9m_AD_R1,7558.0,211.0
9m_AD_R1,8460.0,216.0
9m_AD_R1,7320.0,165.0
9m_AD_R1,6511.0,204.0
9m_AD_R1,22.0,0.0
9m_AD_R1,557.0,24.0
9m_AD_R1,4871.0,194.0
9m_AD_R1,9352.0,294.0
9m_AD_R1,13694.0,462.0
9m_AD_R1,13788.0,456.0
9m_AD_R1,12229.0,372.0
9m_AD_R1,6548.0,298.0
9m_AD_R1,6437.0,331.0
9m_AD_R1,6035.0,258.0
9m_AD_R1,105.0,1.0
9m_AD_R1,180.0,4.0
9m_AD_R1,23.0,3.0
9m_AD_R1,2349.0,61.0
9m_AD_R1,5051.0,119.0
9m_AD_R1,10552.0,322.0
9m_AD_R1,9791.0,305.0
9m_AD_R1,9364.0,283.0
9m_AD_R1,10467.0,336.0
9m_AD_R1,9378.0,321.0
9m_AD_R1,7113.0,353.0
9m_AD_R1,7170.0,358.0
9m_AD_R1,10323.0,380.0
9m_AD_R1,13738.0,449.0
9m_AD_R1,1222.0,56.0
9m_AD_R1,819.0,13.0
9m_AD_R1,4492.0,113.0
9m_AD_R1,7291.0,151.0
9m_AD_R1,8492.0,217.0
9m_AD_R1,7165.0,159.0
9m_AD_R1,4582.0,122.0
9m_AD_R1,3636.0,78.0
9m_AD_R1,2144.0,67.0
9m_AD_R1,2512.0,84.0
9m_AD_R1,4850.0,217.0
9m_AD_R1,6843.0,233.0
9m_AD_R1,11087.0,344.0
9m_AD_R1,14440.0,514.0
9m_AD_R1,12999.0,443.0
9m_AD_R1,1357.0,71.0
9m_AD_R1,39.0,2.0
9m_AD_R1,691.0,16.0
9m_AD_R1,2851.0,61.0
9m_AD_R1,6361.0,190.0
9m_AD_R1,7620.0,246.0
9m_AD_R1,5834.0,159.0
9m_AD_R1,5234.0,96.0
9m_AD_R1,6222.0,134.0
9m_AD_R1,3401.0,64.0
9m_AD_R1,2657.0,60.0
9m_AD_R1,42.0,0.0
9m_AD_R1,2111.0,64.0
9m_AD_R1,8033.0,293.0
9m_AD_R1,9430.0,235.0
9m_AD_R1,11032.0,319.0
9m_AD_R1,10985.0,312.0
9m_AD_R1,13990.0,499.0
9m_AD_R1,13163.0,446.0
9m_AD_R1,4770.0,113.0
9m_AD_R1,21.0,1.0
9m_AD_R1,249.0,9.0
9m_AD_R1,3356.0,105.0
9m_AD_R1,7041.0,220.0
9m_AD_R1,9879.0,325.0
9m_AD_R1,6928.0,161.0
9m_AD_R1,9073.0,323.0
9m_AD_R1,9421.0,305.0
9m_AD_R1,4276.0,64.0
9m_AD_R1,4438.0,83.0
9m_AD_R1,4424.0,75.0
9m_AD_R1,2526.0,65.0
9m_AD_R1,1705.0,50.0
9m_AD_R1,4602.0,109.0
9m_AD_R1,7590.0,211.0
9m_AD_R1,11038.0,412.0
9m_AD_R1,14041.0,513.0
9m_AD_R1,11816.0,358.0
9m_AD_R1,12133.0,392.0
9m_AD_R1,13825.0,438.0
9m_AD_R1,14133.0,444.0
9m_AD_R1,12616.0,405.0
9m_AD_R1,302.0,8.0
9m_AD_R1,53.0,9.0
9m_AD_R1,1751.0,49.0
9m_AD_R1,4201.0,99.0
9m_AD_R1,11030.0,280.0
9m_AD_R1,8623.0,188.0
9m_AD_R1,7699.0,228.0
9m_AD_R1,10768.0,316.0
9m_AD_R1,13067.0,461.0
9m_AD_R1,10312.0,368.0
9m_AD_R1,7629.0,175.0
9m_AD_R1,5407.0,146.0
9m_AD_R1,2891.0,51.0
9m_AD_R1,4618.0,109.0
9m_AD_R1,4625.0,130.0
9m_AD_R1,6422.0,170.0
9m_AD_R1,9796.0,307.0
9m_AD_R1,12850.0,466.0
9m_AD_R1,12964.0,486.0
9m_AD_R1,12772.0,433.0
9m_AD_R1,15792.0,495.0
9m_AD_R1,13813.0,427.0
9m_AD_R1,12250.0,404.0
9m_AD_R1,11528.0,383.0
9m_AD_R1,12825.0,426.0
9m_AD_R1,4472.0,149.0
9m_AD_R1,1825.0,56.0
9m_AD_R1,5869.0,197.0
9m_AD_R1,8081.0,242.0
9m_AD_R1,9177.0,245.0
9m_AD_R1,8316.0,216.0
9m_AD_R1,7905.0,223.0
9m_AD_R1,8366.0,235.0
9m_AD_R1,4851.0,89.0
9m_AD_R1,8214.0,262.0
9m_AD_R1,10326.0,286.0
9m_AD_R1,9420.0,274.0
9m_AD_R1,6574.0,217.0
9m_AD_R1,4969.0,77.0
9m_AD_R1,5793.0,146.0
9m_AD_R1,5304.0,123.0
9m_AD_R1,7057.0,164.0
9m_AD_R1,12381.0,353.0
9m_AD_R1,12765.0,474.0
9m_AD_R1,13302.0,462.0
9m_AD_R1,12745.0,383.0
9m_AD_R1,13257.0,401.0
9m_AD_R1,13352.0,455.0
9m_AD_R1,14300.0,475.0
9m_AD_R1,15386.0,538.0
9m_AD_R1,14068.0,531.0
9m_AD_R1,12713.0,366.0
9m_AD_R1,8376.0,232.0
9m_AD_R1,235.0,3.0
9m_AD_R1,2881.0,62.0
9m_AD_R1,4633.0,96.0
9m_AD_R1,6517.0,164.0
9m_AD_R1,6168.0,170.0
9m_AD_R1,6835.0,177.0
9m_AD_R1,5926.0,164.0
9m_AD_R1,6256.0,172.0
9m_AD_R1,5180.0,96.0
9m_AD_R1,6101.0,181.0
9m_AD_R1,4399.0,98.0
9m_AD_R1,10116.0,323.0
9m_AD_R1,8075.0,183.0
9m_AD_R1,7325.0,193.0
9m_AD_R1,7518.0,225.0
9m_AD_R1,6624.0,174.0
9m_AD_R1,7867.0,207.0
9m_AD_R1,8695.0,249.0
9m_AD_R1,7679.0,199.0
9m_AD_R1,8953.0,234.0
9m_AD_R1,13765.0,458.0
9m_AD_R1,12038.0,342.0
9m_AD_R1,12286.0,429.0
9m_AD_R1,14431.0,428.0
9m_AD_R1,13220.0,434.0
9m_AD_R1,10536.0,335.0
9m_AD_R1,11853.0,391.0
9m_AD_R1,10907.0,327.0
9m_AD_R1,12875.0,456.0
9m_AD_R1,9104.0,327.0
9m_AD_R1,280.0,7.0
9m_AD_R1,68.0,0.0
9m_AD_R1,1038.0,18.0
9m_AD_R1,4766.0,130.0
9m_AD_R1,5720.0,145.0
9m_AD_R1,5560.0,152.0
9m_AD_R1,3264.0,69.0
9m_AD_R1,4780.0,99.0
9m_AD_R1,4777.0,90.0
9m_AD_R1,4167.0,86.0
9m_AD_R1,3626.0,82.0
9m_AD_R1,5403.0,133.0
9m_AD_R1,6839.0,154.0
9m_AD_R1,5432.0,90.0
9m_AD_R1,7041.0,166.0
9m_AD_R1,9209.0,297.0
9m_AD_R1,11578.0,368.0
9m_AD_R1,8232.0,192.0
9m_AD_R1,7491.0,180.0
9m_AD_R1,10055.0,357.0
